region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
1442 Vårgårda;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1443 Bollebygd;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1444 Grästorp;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1445 Essunga;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1446 Karlsborg;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1447 Gullspång;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1452 Tranemo;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1460 Bengtsfors;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1461 Mellerud;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1462 Lilla Edet;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1463 Mark;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1465 Svenljunga;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1466 Herrljunga;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1470 Vara;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1471 Götene;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1472 Tibro;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1473 Töreboda;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1480 Göteborg;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1481 Mölndal;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1482 Kungälv;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1484 Lysekil;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1485 Uddevalla;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1486 Strömstad;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1487 Vänersborg;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1488 Trollhättan;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1489 Alingsås;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1490 Borås;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1491 Ulricehamn;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1492 Åmål;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1493 Mariestad;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1494 Lidköping;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1495 Skara;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1496 Skövde;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
1497 Hjo;9,5;10,25;10,25;10,25;10,25;10,45;10,45;10,45;10,45;10,45;10,45;10,45;10,88;11,13;11,13;11,48;11,48;11,48;11,48
