region;Skattesats till landsting 2000;Skattesats till landsting 2001;Skattesats till landsting 2002;Skattesats till landsting 2003;Skattesats till landsting 2004;Skattesats till landsting 2005;Skattesats till landsting 2006;Skattesats till landsting 2007;Skattesats till landsting 2008;Skattesats till landsting 2009;Skattesats till landsting 2010;Skattesats till landsting 2011;Skattesats till landsting 2012;Skattesats till landsting 2013;Skattesats till landsting 2014;Skattesats till landsting 2015;Skattesats till landsting 2016;Skattesats till landsting 2017;Skattesats till landsting 2018
2401 Nordmaling;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2403 Bjurholm;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2404 Vindeln;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2409 Robertsfors;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2417 Norsjö;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2418 Malå;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2421 Storuman;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2422 Sorsele;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2425 Dorotea;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2460 Vännäs;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2462 Vilhelmina;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2463 Åsele;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2480 Umeå;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2481 Lycksele;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2482 Skellefteå;9,7;9,7;9,7;9,7;9,7;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,5;10,3;10,8;10,8;10,8;11,3;11,3
2505 Arvidsjaur;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2506 Arjeplog;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2510 Jokkmokk;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2513 Överkalix;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2514 Kalix;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2518 Övertorneå;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2521 Pajala;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2523 Gällivare;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2560 Älvsbyn;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2580 Luleå;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2581 Piteå;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2582 Boden;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2583 Haparanda;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
2584 Kiruna;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;9,42;10,4;10,4;10,4;10,4;10,18;10,18;10,18;11,34;11,34;11,34
