region,Skattesats till kommun 2000,Skattesats till kommun 2001,Skattesats till kommun 2002,Skattesats till kommun 2003,Skattesats till kommun 2004,Skattesats till kommun 2005,Skattesats till kommun 2006,Skattesats till kommun 2007,Skattesats till kommun 2008,Skattesats till kommun 2009,Skattesats till kommun 2010,Skattesats till kommun 2011,Skattesats till kommun 2012,Skattesats till kommun 2013,Skattesats till kommun 2014,Skattesats till kommun 2015,Skattesats till kommun 2016,Skattesats till kommun 2017,Skattesats till kommun 2018
1471 Götene,21.04,21.04,21.04,21.04,21.5,21.5,21.5,21.5,21.5,21.9,21.9,21.9,21.77,21.77,21.77,21.77,21.77,21.77,21.77
1491 Ulricehamn,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,20.98,21.05,21.05,21.05,21.05,21.05,21.05,21.05
1446 Karlsborg,20.94,20.94,20.94,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.5,21.07,21.07,21.32,21.32,21.32,21.32,21.32
1473 Töreboda,20.94,20.94,20.94,20.94,20.94,21.4,21.4,21.4,21.4,21.4,21.4,21.4,20.97,20.97,21.22,21.22,21.22,21.22,21.22
1784 Arvika,21.4,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,21.5,21.5
2183 Bollnäs,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.9,20.64,20.86,21.86,21.86,21.86,21.86,21.86
1441 Lerum,20.89,20.89,20.89,20.89,21.28,21.28,21.28,21.18,21.08,21.08,21.08,21.08,20.65,20.65,20.65,20.65,20.65,20.65,20.65
1482 Kungälv,20.89,20.89,20.89,21.89,21.89,21.97,21.97,21.87,21.87,21.87,21.87,21.87,21.44,21.44,21.44,21.44,21.44,21.44,21.44
1465 Svenljunga,20.88,20.88,20.88,21.2,21.2,21.2,21.2,21.2,21.2,21.2,21.7,21.7,21.27,22.15,22.15,22.15,22.15,21.9,22.35
1290 Kristianstad,21.11,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,20.86,21.46,21.46,21.46,21.46,21.46
1419 Tjörn,20.39,20.84,20.84,20.84,20.84,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.21,21.21,21.21,21.21,21.21,21.71,21.71
1481 Mölndal,20.84,20.24,20.84,21.14,21.14,21.14,21.14,20.94,20.84,20.84,20.84,20.69,20.26,20.26,20.26,20.26,20.26,20.26,20.26
1384 Kungsbacka,19.83,20.83,20.83,20.83,21.53,21.53,21.53,21.53,21.53,21.53,21.53,21.53,21.33,21.33,21.33,21.33,21.33,21.33,21.33
1402 Partille,20.74,20.74,20.74,20.74,20.74,20.74,20.49,20.49,20.49,20.49,20.49,20.39,19.96,19.96,19.96,19.96,19.96,19.96,19.96
1280 Malmö,20.66,20.66,20.66,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.84,20.94,20.94,21.24,21.24,21.24,21.24
1293 Hässleholm,20.11,20.11,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,20.61,21.06,21.06,21.06,20.96,20.96
1498 Tidaholm,20.54,20.54,20.54,21,21,21,21,21,21,21.75,21.75,21.75,21.32,22.07,22.07,22.07,22.07,22.07,22.07
1315 Hylte,20.53,20.53,20.53,20.53,20.53,20.95,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45,21.45
1383 Varberg,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.53,20.33,20.33,20.33,20.33,20.33,20.33,20.33
1291 Simrishamn,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51,20.51
1281 Lund,20.49,20.49,20.49,20.49,20.49,21.24,21.24,20.99,20.84,20.84,20.84,20.84,20.84,20.84,21.24,21.24,21.24,21.24,21.24
1980 Västerås,20.49,20.49,20.49,20.49,20.49,20.49,20.49,20.44,20.34,20.24,20.24,20.24,20.36,20.36,20.36,20.36,20.36,20.36,20.36
1382 Falkenberg,20.48,20.48,20.48,20.48,20.48,20.48,20.48,20.48,21.3,21.3,21.3,21.3,21.1,21.1,21.1,21.1,21.1,21.1,21.1
1881 Kumla,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.42,20.08,20.83,20.83,20.8,20.8,21.6,21.6
1494 Lidköping,20.69,20.39,20.39,20.69,21.09,21.09,21.09,21.09,21.09,21.09,21.39,21.29,20.86,20.86,20.86,20.86,20.86,21.26,21.26
1472 Tibro,20.34,20.34,20.34,20.34,21.14,21.14,21.14,21.14,21.14,21.14,21.14,21.14,20.71,20.71,21.21,21.21,21.21,21.21,21.21
