region,Skattesats till kommun 2000,Skattesats till kommun 2001,Skattesats till kommun 2002,Skattesats till kommun 2003,Skattesats till kommun 2004,Skattesats till kommun 2005,Skattesats till kommun 2006,Skattesats till kommun 2007,Skattesats till kommun 2008,Skattesats till kommun 2009,Skattesats till kommun 2010,Skattesats till kommun 2011,Skattesats till kommun 2012,Skattesats till kommun 2013,Skattesats till kommun 2014,Skattesats till kommun 2015,Skattesats till kommun 2016,Skattesats till kommun 2017,Skattesats till kommun 2018
2582 Boden,21.63,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.13,22.35,22.6,22.6,22.6,22.6,22.6
1761 Hammarö,22.1,22.1,22.1,22.1,22.4,22.4,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.1
2101 Ockelbo,21.91,21.91,22.1,22.1,22.1,22.1,22.1,22.1,22.1,22.8,22.8,22.8,22.54,22.76,22.76,22.76,22.76,22.76,22.76
2521 Pajala,22.08,22.08,22.08,22.08,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.48,22.7,22.7,23.5,23.5,23.5,23.5
2031 Rättvik,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.29,22.29,22.29,22.29,22.29,21.82
2034 Orsa,22.06,22.06,22.06,22.06,22.06,22.06,22.06,22.36,22.36,22.66,22.66,22.66,22.66,22.89,22.89,22.89,22.89,22.89,22.42
1983 Köping,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.04,22.16,22.16,22.16,22.16,22.16,22.16,22.16
2581 Piteå,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.03,22.25,22.25,22.25,22.25,22.25,22.25
1440 Ale,22,22,22,22,22,22,22,22,22,22.3,22.3,22.3,21.87,21.87,21.87,21.87,21.87,21.87,21.87
1715 Kil,22,22,22,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.35,22.35,22.35,22.35,22.35,22.35
1460 Bengtsfors,21.99,21.99,21.99,22.54,22.54,22.54,22.54,22.54,22.54,22.54,22.79,22.79,22.42,22.42,22.42,22.92,22.92,22.92,22.92
2104 Hofors,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,22.65,22.65,22.65,22.89,23.01,22.86,22.86,22.86,22.86,22.86
2121 Ovanåker,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.9,21.64,21.86,21.86,21.86,21.86,21.86,21.86
2132 Nordanstig,21.9,21.9,21.9,21.9,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.4,22.14,22.61,22.61,22.51,22.51,22.51,22.51
2510 Jokkmokk,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,21.88,22.23,22.23,22.23,22.95,22.95,22.95,22.95,22.95,22.95
1960 Kungsör,21.59,21.84,21.84,21.84,21.91,21.91,21.91,21.91,21.91,21.91,21.91,21.91,22.03,22.03,22.03,22.03,22.03,22.03,22.03
2062 Mora,21.83,21.83,21.83,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.68,22.58,22.58,22.81,22.81,22.81,22.81,22.81,22.34
2023 Malung-Sälen,21.31,21.31,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81,22.31,22.31,22.31,22.54,22.54,22.54,23.04,23.04,22.57
2039 Älvdalen,21.81,21.81,21.81,21.81,21.81,21.81,21.81,21.81,22.56,22.56,22.56,22.56,22.56,22.79,22.79,22.79,22.79,22.79,22.79
1766 Sunne,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,21.8,22.15,22.15,22.15,22.15,22.15,22.15
1489 Alingsås,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.36,21.36,21.36,21.36,21.36,21.36,21.36
2284 Örnsköldsvik,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,21.79,22.14,22.44,22.44,22.44,22.44,22.44
2580 Luleå,21.78,21.78,21.78,21.78,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.5,22.5,22.5,22.5,22.5,22.5
2583 Haparanda,21.78,21.78,21.78,21.78,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.28,22.5,22.5,22.5,22.5,22.5,22.5
1780 Karlstad,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75,21.75
1427 Sotenäs,20.74,20.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.31,21.31,21.31,21.99,21.99,21.99,21.99
1984 Arboga,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.74,21.86,21.86,21.86,21.86,22.51,22.41,22.41
2080 Falun,21.71,21.71,21.71,21.71,22.41,22.41,22.41,22.41,22.31,22.31,22.31,22.31,22.31,22.54,22.54,22.54,22.54,22.54,22.07
1439 Färgelanda,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,23.19,22.76,22.76,22.26,22.26,22.26,22.26,22.26
1904 Skinnskatteberg,21.69,21.69,21.69,21.69,21.69,21.89,21.89,21.89,21.89,22.39,22.39,22.39,22.51,22.51,22.51,22.51,22.51,22.51,22.51
1961 Hallstahammar,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.69,21.81,21.81,21.81,21.81,21.81,21.81,21.81
1785 Säffle,21.9,21.65,21.65,21.65,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
2181 Sandviken,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.65,21.39,21.61,21.61,21.61,21.61,21.61,21.61
1463 Mark,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.64,21.21,21.21,21.21,21.21,21.21,21.21,21.21
1466 Herrljunga,21.14,21.14,21.64,21.64,21.64,22.34,22.34,22.34,22.29,22.29,22.29,22.29,22.16,22.16,22.16,21.94,21.94,21.94,21.94
1415 Stenungsund,21.62,21.62,21.62,22.32,22.32,22.32,22.07,22.07,22.07,22.07,22.07,22.07,21.64,21.64,21.64,21.64,21.64,21.64,21.64
